,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
  Black coal,87573.0,89511.0,94325.1,97872.7,100544.1,102522.1,106089.6,109452.2,116969.5,118586.3,123833.5,134264.0,116774.7,115296.6,121182.3,127788.5,130231.6,132368.5,129569.3,127270.5,123724.5,116948.8,116654.4,111491.1,105772.4
  Brown coal,33594.0,36048.0,34559.0,33248.0,34890.0,35832.0,39427.0,41893.0,46633.0,49703.0,50200.0,52223.0,56493.0,55160.3,55572.8,53377.8,54552.8,54375.8,54658.7,56981.4,56068.3,55298.1,55067.7,47555.1,46076.2
  Natural gas,14359.0,10772.0,11633.0,12295.0,12199.0,14913.0,12445.0,11426.0,12934.0,16001.0,16245.0,17271.0,31730.0,29375.3,30919.4,23802.9,22725.9,31849.9,34955.8,37660.4,44585.4,48996.2,48571.6,51053.4,54393.9
  Oil products,3552.0,3396.0,2362.0,2421.0,2320.0,2738.0,2805.0,2175.0,1821.0,1729.0,1784.0,2044.0,2446.0,1661.0,1388.7,2841.0,3058.0,2893.0,4058.0,3388.0,3106.8,3093.8,2702.5,4464.3,5012.4
  Other a,,,,,,,,,,,,,,1792.2,1817.0,434.0,517.0,479.0,106.0,3579.9,2991.0,2716.1,1088.1,1945.3,
Total non-renewable,139078.0,139727.0,142879.1,145836.7,149953.1,156005.1,160766.6,164946.2,178357.5,186019.3,192062.5,205802.0,207443.7,203285.4,210880.2,208244.2,211085.3,221966.2,223347.8,228880.2,230476.0,227053.0,224084.2,216509.2,211254.8
"  Bagasse, wood b",750.0,769.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,674.0,685.0,633.0,669.0,826.6,1058.2,3237.0,3268.0,3316.0,3737.0,1763.4,1761.8,1077.0,1419.2,1550.3,1876.7
  Biogas b,,,,,,53.0,258.0,295.0,359.0,459.0,449.0,12.0,281.0,757.0,741.3,593.0,643.0,637.0,859.0,1031.8,1015.6,1024.7,1624.5,1600.3,1634.6
  Wind,,,,,4.0,7.0,7.0,7.0,8.0,28.0,58.0,210.0,364.0,703.1,705.0,885.0,1713.1,2611.1,3093.1,3823.8,5051.7,6084.9,6969.7,7959.6,10252.0
  Hydro,14880.0,16103.0,15768.0,16953.0,16649.0,16239.0,15731.0,16852.0,15733.0,16563.0,16720.0,16933.0,16054.0,16490.0,16331.1,15612.2,16029.2,14517.0,12056.9,11869.4,13548.7,16806.7,14083.3,18269.6,18421.0
  Solar PV,,,10.9,13.3,15.9,18.9,23.4,27.8,33.5,37.7,43.5,50.0,58.3,58.3,68.1,77.8,90.3,104.7,122.8,155.6,424.9,1530.4,2558.7,3826.3,4857.5
  Geothermal,,,,,,,,,,,,,,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Total renewable,15630.0,16872.0,16448.9,17636.3,17338.9,16987.9,16689.4,17851.8,16803.5,17761.7,17955.5,17838.0,17426.3,18835.0,18904.2,20405.5,21744.1,21186.3,19869.3,18644.5,21803.2,26524.2,26655.9,33206.6,37042.2
Total,154708.0,156599.0,159328.0,163473.0,167292.0,172993.0,177456.0,182798.0,195161.0,203781.0,210018.0,223640.0,224870.0,222120.4,229784.4,228649.7,232829.4,243152.5,243217.1,247524.7,252279.2,253577.2,250740.1,249715.8,248297.1